Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2019","2019","kcal/capita/day","63","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/capita/day","62","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2016","2016","kcal/capita/day","770","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","772","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2018","2018","kcal/capita/day","808","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2019","2019","kcal/capita/day","776","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2020","2020","kcal/capita/day","780","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2016","2016","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2017","2017","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2019","2019","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2020","2020","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2016","2016","kcal/capita/day","367","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2017","2017","kcal/capita/day","387","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2018","2018","kcal/capita/day","379","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2019","2019","kcal/capita/day","367","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2020","2020","kcal/capita/day","371","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2918","Vegetables","2016","2016","kcal/capita/day","59","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2918","Vegetables","2017","2017","kcal/capita/day","63","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2918","Vegetables","2018","2018","kcal/capita/day","64","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2918","Vegetables","2019","2019","kcal/capita/day","67","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2918","Vegetables","2020","2020","kcal/capita/day","59","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2016","2016","kcal/capita/day","154","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2017","2017","kcal/capita/day","162","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2018","2018","kcal/capita/day","154","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2019","2019","kcal/capita/day","154","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2020","2020","kcal/capita/day","142","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2016","2016","kcal/capita/day","140","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2017","2017","kcal/capita/day","148","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2018","2018","kcal/capita/day","145","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2019","2019","kcal/capita/day","143","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2020","2020","kcal/capita/day","147","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2943","Meat","2016","2016","kcal/capita/day","532","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2943","Meat","2017","2017","kcal/capita/day","546","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2943","Meat","2018","2018","kcal/capita/day","554","E","Estimated value"
